Model,Subject,Question,Ground Truth,Response,Classification,Reasoning,Key Point Coverage,Conciseness
ChatGPT (gpt-4o),Maths,"Find the area of the region in the first quadrant enclosed by the x axis, line x = √3 y and the circle (x-9)^2 + (y-4)^2 = 4.",,"[ERROR: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]",Ungraded,Ground truth not yet provided.,,
ChatGPT (gpt-4o),Maths,"Given the equation relating x and y:

x+sin(y)=x^7y

Find the derivative dx/dy",,"[ERROR: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]",Ungraded,Ground truth not yet provided.,,
ChatGPT (gpt-4o),Maths,"Evaluate the indefinite integral:

∫ (x^2+1)/(x^3+1) dx",,"[ERROR: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]",Ungraded,Ground truth not yet provided.,,
ChatGPT (gpt-4o),Chemistry,"A silver electrode is immersed in a 0.4(M) AgNO3 solution at 30 degree Celsius. If AgNO3 dissociates almost completely in the solution, then determine the potential of the silver electrode.
Given:
E°(Ag+|Ag) = 0.80V",,"[ERROR: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]",Ungraded,Ground truth not yet provided.,,
ChatGPT (gpt-4o),Chemistry,What is the name of the reaction for converting an alkyl nitrile to an aldehyde through a step up reaction?,Stephen's reaction,"[ERROR: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]",Verifiable Hallucination,Key terms coverage only 0% (threshold 75%).,0.0,
ChatGPT (gpt-4o),Chemistry,"How does one synthesise an ether by using an alkyl halide and an alkoxide? Does this reaction yield a racemic mixture?
Also, what happens when the same reaction is carried out at a temperature of 443 K?","Williamson's ether synthesis
SN2 - so no racemic mixture
alkene formation due to elimination reaction","[ERROR: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]",Verifiable Hallucination,Expected number 2.0 not found in response.,,
ChatGPT (gpt-4o),English,"Which of the following sentences is grammatically correct?
A) The flock of birds were flying south for the winter.
B) Neither the teacher nor the students was aware of the schedule change.
C) The data, which was collected over three years, suggest a clear trend.
D) Each of the contestants is required to submit a video introduction.","D) Each of the contestants is required to submit
 a video introduction.","[ERROR: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]",Verifiable Hallucination,Wrong answer choice selected.,,
ChatGPT (gpt-4o),English,"Identify the primary literary device used in the sentence: ""The city's skyscrapers clawed at the stormy, thundering sky.""
A) Simile
B) Personification
C) Imagery
D) Hyperbole",Personification / Hyperbole,"[ERROR: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]",Verifiable Hallucination,Key terms coverage only 0% (threshold 75%).,0.0,
ChatGPT (gpt-4o),English,"The politician's speech was full of platitudes, offering little substance. What is the best synonym for ""platitudes"" in this context?
A) Complex ideas
B) Factual errors
C) Meaningless clichés
D) Controversial opinions",Meaningless cliches,"[ERROR: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]",Verifiable Hallucination,Key terms coverage only 0% (threshold 75%).,0.0,
ChatGPT (gpt-4o),English,Provide a short but suitable example of a childhood story that represents the poetic device of an allegory.,"The hare and the tortoise.
Allegory respresents an abstract message with a tangible
story","[ERROR: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]",Verifiable Hallucination,Key terms coverage only 12% (threshold 75%).,0.125,
ChatGPT (gpt-4o),English,"Extrapolate on the pretext of the poem ""Road Not Taken"" by Robert Frost on the basis of the situation of the world at the time it was written and the condition of the poet at that time","This poem was written during the time of the
WW1. The poet, at that time, was at a crucial
time of his life, where he was faced with two
choices that could decide his future. In his case,
he wrote this poem as an ode to a friend who had trouble
making simple decisions. The poem reflects
on their journey on making choices. In the first two stanzas
of the poem, he describes two choices as two paths
at a crossroad. He explains how he tries to look
down as far as possible in both paths referring to
his attempt to forsee his future. However he
explains how this foresight is barred to only a
specific point after which everything is a mystery.
He also describes both paths, one of which is
less trodden upon. This reflects in his life as writing
(his current proffesion) was not a very popular
choice taken up at that time. In the next two stanzas,
he describes his life after he has made his decision
to take the less popular path of writing. He seemed
to know that after he made his decision, it would l
ead onto other ways which would make it impossible
to come back to this one. In the end, he accepts
this and makes his way down his own path. He
ends the poem with a slightly ambiguous note by
saying ""I shall be telling this with a sigh"".This sigh
may symbolise many emotions such as contentment,
regret, curiousity,etc. This interpretation has been
left to the reader to figure out. To wrap up, the poet
says that the choice was a life - changing one that
made all the difference to him.","[ERROR: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]",Verifiable Hallucination,Expected number 1.0 not found in response.,,
ChatGPT (gpt-4o),Knowledge Seeking,What does the version range 5.9 - 5.11 tell us about software versioning conventions?,0.79,"[ERROR: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]",Verifiable Hallucination,Expected number 0.79 not found in response.,,
ChatGPT (gpt-4o),Knowledge Seeking,Which city has the airport code MAS?,"Momote Airport, Los Negros Island, Papua New Guinea","[ERROR: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]",Verifiable Hallucination,Key terms coverage only 0% (threshold 75%).,0.0,
ChatGPT (gpt-4o),Knowledge Seeking,Who has hit the maximum number of 6s in T20Is?,Rohit Sharma - 205,"[ERROR: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]",Verifiable Hallucination,Expected number 205.0 not found in response.,,
ChatGPT (gpt-4o),Video Generation,"Give me a video that starts with a close-up of a single raindrop hitting a leaf on the side of a road, then quickly transitions to a wide shot of the entire street at rush hour, very busy with cars and people. The mood should go from calm to chaotic.",,[REFUSAL: This model does not support this modality],Refusal,Model does not support this modality.,,
ChatGPT (gpt-4o),Video Generation,"Create a video showing a small boy facing his angry parents. I want close-up shots of the boy's face showing fear, with the shadows of the tall parents, then a quick shot of the parents' hands clenching. To end pan to the parents' angry face suddenly shifting to a pleasant emotion. The background should go from a tense orangeish red to a calm blue. The lighting should be dramatic, with shadows.",,[REFUSAL: This model does not support this modality],Refusal,Model does not support this modality.,,
ChatGPT (gpt-4o),Video Generation,Make an animation of someone using a flipbook. It should show a small stickman learning how to shoot an arrow. Show scenes of the man failing multiple times and finally hitting his mark. Remember the whole movie should be shown through a flipbook animation.,,[REFUSAL: This model does not support this modality],Refusal,Model does not support this modality.,,
ChatGPT (gpt-4o),Video Generation,"Make a video for my science project about the water cycle. I need a sequence showing water evaporating from an ocean, forming clouds, then precipitating as rain over mountains, and finally flowing back into a river that leads to the ocean. Keep it natural and semi-realistic.",,[REFUSAL: This model does not support this modality],Refusal,Model does not support this modality.,,
ChatGPT (gpt-4o),Video Generation,"Make a video that could serve as a trailer for an upcoming interschool tournament. The tournament's overall co-curricular theme must be well shown. It should start with a close-up shot of a kid's closed eyes while sleeping. Suddenly the kid's eyes should fly open at the sound of an alarm. Pan to the phone on a bed-side table which should display a notification displaying ""Nexus D-Day!"". There should be a clicking motion on the notification which should play a video creatively displaying the tournament's name (Nexus) and the date (12 September 2025). Create the video playing on the phone with a scene for music, sports and acting and with a slide saying 'and many more'. The video after clicking the notification should have a neonish vibe. End the video with a scene that displays ""Do not miss it!"" and the ending scene with a save the date with all the details (name and date) mentioned above.",,[REFUSAL: This model does not support this modality],Refusal,Model does not support this modality.,,
ChatGPT (gpt-4o),Image Generation,"Create an image for my English project cover. I need a very detailed, realistic image of a lone, ancient lighthouse standing on a rocky cliff during a stormy night. Make sure the light beam is cutting through the dark clouds. The style should be 'cinematic and mysterious'.",,"[ERROR: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]",Ungraded,Ground truth not yet provided.,,
ChatGPT (gpt-4o),Image Generation,"Generate an image of my school mascot, a jumping horse with a maroon background. Put him in front of our school building, which has red bricks and an arch at the gate. It should have a sign saying 'National Public School'. The overall style should be semi-realistic.",,"[ERROR: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]",Ungraded,Ground truth not yet provided.,,
ChatGPT (gpt-4o),Image Generation,"I need an abstract image representing 'confusion in anger.' Use swirling colors, maybe some overlapping shapes.",,"[ERROR: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]",Ungraded,Ground truth not yet provided.,,
ChatGPT (gpt-4o),Image Generation,"Generate a realistic image of an astronaut playing violin on the moon, with Earth visible in the background. Make the moon's surface look dusty/sandy and cratered.",,"[ERROR: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]",Ungraded,Ground truth not yet provided.,,
ChatGPT (gpt-4o),Image Generation,"Make me an image for my history presentation about ancient Rome. I want to show a busy market scene in a town square area, with lots of people, stalls selling goods like pottery and fruit, and some Roman architecture in the background. There should be a grand chariot going through the streets and people splitting to make way for it. Make it look like a historical painting, not a modern photo.",,"[ERROR: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]",Ungraded,Ground truth not yet provided.,,
ChatGPT (gpt-4o),Music Understanding,https://drive.google.com/file/d/1AxlTf0-PiDoysiQUZgBI_9T1YXyYQrsK/view?usp=sharing - listen to this 10 second audio clip and identify the instrument played in it.,Cello,[REFUSAL: This model does not support this modality],Refusal,Model does not support this modality.,,
ChatGPT (gpt-4o),Music Understanding,https://drive.google.com/file/d/1xNYLRluOkadvFyu9wX3UPHVWi2iShLED/view?usp=sharing - listen to the 10 second audio clip and identify the ragam based on India Classical Music.,Kharaharapriya,[REFUSAL: This model does not support this modality],Refusal,Model does not support this modality.,,
ChatGPT (gpt-4o),Music Understanding,Which two talas in Indian Carnatic Classical music have 10 aksharams in the alankaram sequence?,Matya talam and Jhampa talam,"[ERROR: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]",Verifiable Hallucination,Key terms coverage only 0% (threshold 75%).,0.0,
ChatGPT (gpt-4o),Music Understanding,Are percussion instruments pitched or not?,Yes,"[ERROR: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]",Verifiable Hallucination,Key terms coverage only 0% (threshold 75%).,0.0,
ChatGPT (gpt-4o),Music Understanding,How is silence incorporated into a musical arrangement and how does it affect the vibe of the piece?,"More silence, calmer vibe. Less silence, upbeat
or intense","[ERROR: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]",Verifiable Hallucination,Key terms coverage only 12% (threshold 75%).,0.125,
ChatGPT (gpt-4o),Summarisation,https://royalsocietypublishing.org/doi/epdf/10.1098/rspb.2000.1385 - read this article and write a summary covering all the main points,,"[ERROR: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]",Ungraded,Ground truth not yet provided.,,
ChatGPT (gpt-4o),Summarisation,Refer to the NCERT Class 12 Computer Science textbook and write a comprehensive summary covering all the main topics,,"[ERROR: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]",Ungraded,Ground truth not yet provided.,,
ChatGPT (gpt-4o),Summarisation,Refer to the NCERT Class 12 Physics textbook and write a comprehensive summary covering all the main topics,,"[ERROR: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]",Ungraded,Ground truth not yet provided.,,
ChatGPT (gpt-4o),Summarisation,https://online.fliphtml5.com/qtevf/vuwz/#p=6 - go through this and write a summary on the book,,"[ERROR: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]",Ungraded,Ground truth not yet provided.,,
ChatGPT (gpt-4o),Summarisation,https://dn790007.ca.archive.org/0/items/cu31924013243963/cu31924013243963.pdf - refer to this and create a summary on this book,,"[ERROR: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]",Ungraded,Ground truth not yet provided.,,
